待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
河东雅仕嘉园 新上好房 南北通透 精装全明户型诚意出售,2室,2厅,1卫,96,㎡,南,高层(共29层),2013年建造,雅仕兰庭,河东,富民路,月牙河南路35号,"南,满五年,近地铁,绿化率高,",170,万,17709,元/㎡
蓝岸森林 有电梯 交通便利 购物方便 装修好 医疗配套成熟,2室,1厅,1卫,92.96,㎡,南,高层(共30层),2010年建造,蓝岸森林,北辰,北仓,京津路1号,"南,满五年,绿化率高,户型方正,",108,万,11618,元/㎡
天塔 交通便捷 刚需小三居 近地铁 医疗配套成熟 朝南,3室,1厅,1卫,87.02,㎡,南,低层(共6层),1985年建造,气象南里,河西,天塔,环湖北道6号,"南,满五年,近地铁,",275,万,31602,元/㎡
愉悦港湾二楼老本，明厨明卫,2室,1厅,1卫,88,㎡,南北,共5层,2005年建造,愉悦港湾,宁河,芦台镇,光明路7号,"南北,满二年,",68,万,7728,元/㎡
大两居 电梯房 交通便捷 临地铁 满五 楼层好 居家自住,2室,2厅,1卫,93,㎡,南,中层(共33层),2011年建造,首创国际城,塘沽,工农村街,"泰达大街,近河北路","南,满五年,",95,万,10216,元/㎡
小海地 交通便利 医疗配套成熟 次新房 临地铁 带电梯,3室,2厅,1卫,89,㎡,南北,中层(共22层),2021年建造,中海左岸澜庭,河西,小海地,"洞庭路,近浯水道","南北,满五年,近地铁,次新房,",339,万,38090,元/㎡
虎林里，增号楼，婚房，落地窗，装修保持不错，2居室，看房随时,2室,1厅,1卫,95.37,㎡,南,高层(共6层),1982年建造,虎林里,北辰,集贤里,延吉道,"南,",78,万,8179,元/㎡
富瀛洲花园 2室1厅 95.61平,2室,1厅,1卫,95.61,㎡,南北,高层(共18层),2008年建造,富瀛洲花园,河北,建昌道街,红星路14号,"南北,满五年,近地铁,绿化率高,",159,万,16631,元/㎡
商圈成熟 出行方便 小三房 高楼层采光充足 南向采光好,3室,2厅,1卫,93,㎡,南,共4层,1990年建造,天辰公寓,北辰,北仓,京津公路521号,"南,",72,万,7742,元/㎡
碧海鸿庭 南北通透 刚需两居 商品房 电梯房 购物方便,2室,2厅,1卫,99.54,㎡,南北,低层(共17层),2004年建造,碧海鸿庭,塘沽,塘沽新村街,上海道3001号,"南北,满五年,",192,万,19289,元/㎡
商圈成熟 小区新 近医院 有电梯 近地铁 正南朝向 诚心出售,2室,1厅,1卫,66,㎡,南,中层(共36层),2014年建造,碧春园,红桥,双环邨街,"辰兴路,近南仓道","南,热门小区,房东急售,",70,万,10607,元/㎡
秋瑞家园 精装好房 满五   高楼层采光充足 出行方便,2室,1厅,1卫,95.31,㎡,南北,高层(共11层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,"南北,房东直卖,满五年,近地铁,",109,万,11437,元/㎡
绿城桂语听蘭 次新房 正南朝向 小三房 有电梯空港经济区,3室,2厅,1卫,89.47,㎡,南,低层(共16层),2023年建造,绿城桂语听蘭,东丽,空港经济区,东八道,"南,房东直卖,有电梯,次新房,",195,万,21796,元/㎡
君利花园 楼层好 南向采光好 刚需两居 满二 电梯房下朱庄街,2室,2厅,1卫,101,㎡,南,中层(共25层),2011年建造,君利花园,武清,下朱庄街,"知行道,近广贤路","南,满二年,",66,万,6535,元/㎡
生态城万达对面一楼带院众美青城100.45平154万,3室,2厅,1卫,100.45,㎡,南,低层(共8层),2015年建造,众美青城,滨海新区,中新生态城,中天大道,"南,满五年,采光较好,多人关注,",154,万,15332,元/㎡
生态城景杉园大三室精装修带车位好楼层出门就是小外二部随时看房,3室,2厅,2卫,129,㎡,南北,高层(共23层),2015年建造,景杉园,滨海新区,中新生态城,和韵路1342号,"南北,满五年,多人关注,",153,万,11861,元/㎡
塘沽新村街，碧海鸿庭两室，中间3楼，过五年，诚心卖,2室,2厅,1卫,93,㎡,南,低层(共16层),2008年建造,碧海鸿庭,塘沽,塘沽新村街,上海道3001号,"南,满五年,",166,万,17850,元/㎡
海宁园别墅 精装修 另有阁楼不算房本面积  可议 随时看房,3室,3厅,3卫,129.09,㎡,南北,共3层,2017年建造,云禧郡海宁园(别墅),大港,古林街,港东三道,"南北,价格优惠,房东急售,交易周期可谈,",275,万,21303,元/㎡
近医院 交通便利 正规商品房 大两房 购物方便 精装好房,2室,2厅,1卫,94,㎡,南北,中层(共33层),2012年建造,弘泽城,塘沽,杭州道街,天河东路,"南北,满五年,近地铁,",105,万,11171,元/㎡
小三居 满二   低密度社区 高楼层视野好 装修好 南北通透,3室,2厅,1卫,93,㎡,南北,共5层,2012年建造,碧溪秋园,武清,下朱庄街,嘉河道,"南北,满二年,",67,万,7205,元/㎡
商品住宅 带电梯 小三居 南北通透 满五   近一周新上房源,3室,2厅,1卫,89.22,㎡,南北,低层(共18层),2010年建造,中建城源和湾,塘沽,新城镇,津沽公路,"南北,满五年,",70,万,7846,元/㎡
文成花园98平米78万可以好位置  房源,3室,1厅,1卫,98.96,㎡,南北,高层(共27层),2015年建造,世侨唐墅,武清,大王古庄镇,古达路,"南北,满五年,",78,万,7882,元/㎡
小三居 满五   有电梯 低密度社区 次新房 临地铁,3室,1厅,1卫,85.97,㎡,南北,中层(共32层),2020年建造,海阔苑,塘沽,北塘街,漳州道,"南北,满五年,次新房,",65,万,7561,元/㎡
中建海纳府120.0平155万3室2厅2卫,3室,2厅,2卫,120,㎡,南北,高层(共7层),2019年建造,中建海纳府,滨海新区,中新生态城,中生大道,"南北,满二年,车位充足,多人关注,",155,万,12917,元/㎡
仕嘉花园 交通便捷 商品住宅 近医院 满二 大两房,2室,2厅,1卫,92.26,㎡,南北,低层(共10层),2023年建造,仕嘉花园,塘沽,新河街,杭州道55号,"南北,满二年,次新房,",96,万,10406,元/㎡
劝业场 商业配套成熟 近医院 带电梯 精装修 满二  ,1室,2厅,1卫,84.03,㎡,东,高层(共46层),2020年建造,和平翰林公馆,和平,劝业场,滨江道221号,"东,满二年,近地铁,次新房,",548,万,65215,元/㎡
河西户 梅江天浦园 好户型 明卫 精装修  过五年 可看湖,2室,1厅,1卫,93.61,㎡,南北,高层(共31层),2009年建造,天浦园,河西,梅江南,环岛西路,"南北,满五年,近地铁,",242,万,25852,元/㎡
生态城起步区首创康桥郡精装洋房H户型过五年小外二部一墙之隔,2室,2厅,1卫,93.52,㎡,南北,低层(共9层),2013年建造,首创康桥郡,滨海新区,中新生态城,"中生大道,近中新大道","南北,满五年,车位充足,",169,万,18072,元/㎡
直降20万，地铁二号线卞兴站旁，两室毛坯，婚房，刚需，  ,2室,1厅,1卫,77,㎡,南北,高层(共24层),2011年建造,运通花园,西青,中北,外环西路,"南北,满五年,近地铁,多人关注,",68,万,8832,元/㎡
近医院 临地铁 正南朝向 商业配套成熟 正规商品房 大两居,2室,2厅,1卫,94.33,㎡,南,低层(共6层),2000年建造,奥林匹克花园玉兰苑,北辰,瑞景街,"龙泉道,近辰康路","南,VIP房东直卖,满五年,近地铁,",168,万,17810,元/㎡
